Paper_ID,Affiliation_ID,Year,Keyword,AffiliationGroup,OriginalAffiliation,Author,NA
504,1,1980,bio,ES,"UNIV CHICAGO,DEPT BIOL,CHICAGO,IL 60637, USA.","FROGNER, KJ",1
506,1,1980,marine,ES,"MARINE BIOL LAB,CTR ECOSYST,WOODS HOLE,MA 02543, USA.","MORRIS, JT",2
507,1,1980,eco,ES,"SUNY STONY BROOK,DEPT ECOL & EVOLUT,STONY BROOK,NY 11794, USA.","BLACK, RW",3
508,1,1980,zoo,ES,"MICHIGAN STATE UNIV,DEPT ZOOL,E LANSING,MI 48824, USA.","OLIVE, CW",4
510,1,1980,indie,ES,"FAIRLEIGH DICKINSON UNIV, W INDIES LAB, CHRISTIANSTED, VI 00820 USA.","GLADFELTER, WB",5
511,1,1980,forest,ES,"UNIV WISCONSIN,DEPT FORESTRY,MADISON,WI 53706, USA.","LORIMER, CG",6
512,1,1980,bot,ES,"UNIV DURHAM,DEPT BOT,DURHAM DH1 3HP,ENGLAND.","WAUGHMAN, GJ",7
516,1,1980,zoo,ES,"UNIV MARYLAND,DEPT ZOOL,COLLEGE PK,MD 20742, USA.","INOUYE, DW",8
527,1,1980,pacific nw lab,Remove,"PACIFIC NW LAB, DEPT ECOL SCI, RICHLAND, WA 99352 USA.","CUSHING, CE",9
530,1,1980,eco,ES,"UNIV ARIZONA,DEPT ECOL & EVOLUT BIOL,TUCSON,AZ 85721, USA.","INOUYE, RS",10
534,1,1980,min,ES,"UNIV WYOMING,DEPT BOT,LARAMIE,WY 82071, USA.","YOUNG, DR",11
535,1,1980,agr,ES,"CONNECTICUT AGR EXPT STN,DEPT ENTOMOL,NEW HAVEN,CT 06504, USA.","MCCLURE, MS",12
545,1,1980,bio,ES,"UNIV MICHIGAN,DIV BIOL SCI,ANN ARBOR,MI 48109, USA.","BACH, CE",13
550,1,1979,oceanog,ES,"UNIV RHODE ISL,GRAD SCH OCEANOG,KINGSTON,RI 02881, USA.","DURBIN, AG",14
554,1,1979,forest,ES,"NORTHEASTERN FOREST EXPT STN,DURHAM,NH 03824, USA.","MARTIN, CW",15
555,1,1979,bio,ES,"CATHOLIC UNIV CHILE,INST CIENCIAS BIOL,SANTIAGO,CHILE.","FUENTES, ER",16
561,1,1979,oceanog,ES,"SKIDAWAY INST OCEANOG,SAVANNAH,GA 31406, USA.","HANSON, RB",17
563,1,1979,bio,ES,"NO ILLINOIS UNIV,DEPT BIOL SCI,DEKALB,IL 60115, USA.","VONENDE, CN",18
565,1,1979,bio,ES,"EMORY UNIV,DEPT BIOL,ATLANTA,GA 30322, USA.","GOTTSCHALK, MR",19
569,1,1979,bio,ES,"NORTHWESTERN UNIV,DEPT BIOL SCI,EVANSTON,IL 60201, USA.","HEITHAUS, ER",20
572,1,1979,ent,ES,"UNIV CALIF BERKELEY,DIV ENTOMOL & PARASITOL,BERKELEY,CA 94720, USA.","HEINRICH, B",21
574,1,1979,zoo,ES,"COLORADO STATE UNIV,DEPT ZOOL & ENTOMOL,FT COLLINS,CO 80523, USA.","VOSSBRINCK, CR",22
575,1,1979,verteb,ES,"UNIV CALIF BERKELEY,MUSEUM VERTEBRATE ZOOL,BERKELEY,CA 94720, USA.","BRONSON, MT",23
578,1,1979,min,ES,"UNIV WYOMING,DEPT ZOOL & PHYSIOL,LARAMIE,WY 82071, USA.","STANTON, NL",24
581,1,1979,fish,ES,"UNIV WASHINGTON,COLL FISHERIES,FISHERIES RES INST,SEATTLE,WA 98195, USA.","RICHEY, JE",25
582,1,1979,bot,ES,"OHIO UNIV,DEPT BOT,ATHENS,OH 45701, USA.","UNGAR, IA",26
583,1,1979,bio,ES,"MCGILL UNIV,DEPT BIOL,MONTREAL H3A 1B1,QUEBEC,CANADA.","AUCLAIR, AND",27
587,1,1979,forest,ES,"UNIV BRITISH COLUMBIA,FAC FORESTRY,VANCOUVER V6T 1W5,BC,CANADA.","HARESTAD, AS",28
589,1,1979,zoo,ES,"UNIV GUELPH,DEPT ZOOL,GUELPH N1G 2W1,ONTARIO,CANADA.","MIDDLETON, ALA",29
594,1,1979,bio,ES,"COLL WILLIAM & MARY,DEPT BIOL,ENDOCRINOL & POPULAT ECOL LAB,WILLIAMSBURG,VA 23185, USA.","TERMAN, CR",30
595,1,1979,bot,ES,"WASHINGTON STATE UNIV,DEPT BOT,PULLMAN,WA 99164, USA.","MACK, RN",31
603,1,1979,bio,ES,"DARTMOUTH COLL,DEPT BIOL SCI,HANOVER,NH 03755, USA.","HOLMES, RT",32
606,1,1979,bio,ES,"UNIV CALIF LOS ANGELES,DEPT BIOL,LOS ANGELES,CA 90024, USA.","VANCE, RR",33
607,1,1979,limn,ES,"UNIV WISCONSIN,LIMNOL LAB,MADISON,WI 53706, USA.","GALLEPP, GW",34
608,1,1979,bio,ES,"PENN STATE UNIV,DEPT BIOL,MUELLER LAB,UNIVERSITY PK,PA 16802, USA.","PEARSON, DL",35
612,1,1979,bot,ES,"UNIV ILLINOIS,DEPT BOT,URBANA,IL 61801, USA.","PARRISH, JAD",36
617,1,1979,bio,ES,"SIMON FRASER UNIV,DEPT BIOL SCI,BURNABY V5A 1S6,BC,CANADA.","DUNBRACK, RL",37
618,1,1979,natl pk,Remove,"EVERGLADES NATL PK,S FLORIDA RES CTR,HOMESTEAD,FL 33030, USA.","KUSHLAN, JA",38
619,1,1979,hlth,ES,"UNIV TEXAS,HLTH SCI CTR,SCH PUBL HLTH,HOUSTON,TX 77025, USA.","SCHRODER, GD",39
621,1,1979,zoo,ES,"OHIO STATE UNIV,DEPT ZOOL,COLUMBUS,OH 43210, USA.","LUSTICK, S",40
622,1,1979,bio,ES,"FLORIDA STATE UNIV,DEPT BIOL SCI,TALLAHASSEE,FL 32306, USA.","SIMBERLOFF, D",41
623,1,1979,bio,ES,"NEW MEXICO STATE UNIV,DEPT BIOL,LAS CRUCES,NM 88003, USA.","WHITFORD, WG",42
630,1,1979,"math,",MA,"UNIV ALABAMA,DEPT BIOMATH,BIRMINGHAM,AL 35294, USA.","SILER, W",43
631,1,1979,bio,ES,"UNIV CALIF SANTA BARBARA,DEPT BIOL SCI,SANTA BARBARA,CA 93106, USA.","HOLBROOK, SJ",44
634,1,1979,zoo,ES,"UNIV MARYLAND,DEPT ZOOL,COLLEGE PK,MD 20742, USA.","GILL, DE",45
