Paper_ID,Affiliation_ID,Year,Keyword,AffiliationGroup,OriginalAffiliation,Author,NA
635,1,1979,eco,ES,"UNIV KANSAS,DEPT SYST & ECOL,LAWRENCE,KS 66045, USA.","GAINES, MS",46
637,1,1979,bot,ES,"UNIV WISCONSIN,DEPT BOT,MADISON,WI 53706, USA.","KLINE, VM",47
642,1,1979,life,ES,"UNIV NEBRASKA,SCH LIFE SCI,LINCOLN,NE 68588, USA.","BALLINGER, RE",48
647,1,1979,zoo,ES,"UNIV FLORIDA,DEPT ZOOL,GAINESVILLE,FL 32611, USA.","FOWLER, LE",49
649,1,1979,bio,ES,"STANFORD UNIV,DEPT BIOL SCI,STANFORD,CA 94305, USA.","HECKEL, DG",50
650,1,1979,eco,ES,"UNIV ARIZONA,DEPT ECOL & EVOLUTIONARY BIOL,TUCSON,AZ 85721, USA.","SCHAFFER, WM",51
653,1,1979,zoo,ES,"UNIV FLORIDA,DEPT ZOOL,GAINESVILLE,FL 32611, USA.","MCNAB, BK",52
654,1,1979,eco,ES,"UNIV ARIZONA,DEPT ECOL & EVOLUT BIOL,TUCSON,AZ 85721, USA.","BROWN, JH",53
655,1,1979,usda,Remove,"USDA, FOREST SERV, PACIFIC NW FOREST & RANGE EXPT STN, CORVALLIS, OR 97331 USA.","CAMPBELL, RK",54
656,1,1979,eco,ES,"UNIV ARIZONA,DEPT ECOL & EVOLUT BIOL,TUCSON,AZ 85721, USA.","SCHAFFER, WM",51
658,1,1979,eco,ES,"BATTELLE MEM INST,PACIF NW LABS,DEPT ECOSYST,RICHLAND,WA 99352, USA.","HINDS, WT",55
660,1,1979,NoMatch,Unmatched,"MUSEUM NO ARIZONA,FLAGSTAFF,AZ 86001, USA.","REICHMAN, OJ",56
661,1,1979,env,ES,"UNIV COLORADO,DEPT ENVIRONM POPULAT & ORGANISM BIOL,BOULDER,CO 80309, USA.","LEWIS, WM",57
662,1,1979,bio,ES,"WAYNE STATE UNIV,DEPT BIOL,DETROIT,MI 48202, USA.","LUCKINBILL, LS",58
663,1,1979,chem,PS,"UNIV MICHIGAN,DEPT CHEM & BIOL,ANN ARBOR,MI 48109, USA.","DOBSON, FS",59
664,1,1979,chem,PS,"UNIV WASHINGTON,DEPT CHEM & BIOL,SEATTLE,WA 98195, USA.","SCHOENER, TW",60
666,1,1979,bio,ES,"UNIV MICHIGAN,DEPT BIOL,FLINT,MI 48503, USA.","DAPSON, RW",61
668,1,1979,eco,ES,"SAVANNAH RIVER ECOL LAB,PO DRAWER E,AIKEN,SC 29801, USA.","PINDER, JE",62
673,1,1979,eco,ES,"ECOLE NORM SUPER,CNRS,ZOOL LAB 258,F-75231 PARIS 5,FRANCE.","MENAUT, JC",63
674,1,1979,nutr,ES,"UNIV WISCONSIN,DEPT HUMAN NUTR,MADISON,WI 53706, USA.","JEANNE, RL",64
675,1,1979,chem,PS,"UNIV CALIF BERKELEY,DEPT CHEM & BIOL,BERKELEY,CA 94720, USA.","SOUSA, WP",65
678,1,1979,env,ES,"SUNY COLL ENVIRONM SCI & FORESTRY,DEPT ENVIRONM & FOREST BIOL,SYRACUSE,NY 13210, USA.","MITCHELL, MJ",66
680,1,1978,bio,ES,"PURDUE UNIV,DEPT BIOL SCI,W LAFAYETTE,IN 47907, USA.","CASE, TJ",67
684,1,1978,bio,ES,"CALIF STATE UNIV SAN DIEGO,DEPT BIOL,SAN DIEGO,CA 92182, USA.","HURLBERT, SH",68
687,1,1978,bio,ES,"UNIV ALABAMA,DEPT BIOL,UNIVERSITY,AL 35486, USA.","ULTSCH, GR",69
688,1,1978,geog,SS,"UNIV CALIF SANTA BARBARA,DEPT GEOG,SANTA BARBARA,CA 93106, USA.","STRAHLER, AH",70
692,1,1978,agr,ES,"CORNELL UNIV,DEPT AGRON,SOIL MICROBIOL LAB,ITHACA,NY 14853, USA.","HABTE, M",71
693,1,1978,zoo,ES,"WASHINGTON STATE UNIV,DEPT ZOOL,PULLMAN,WA 99164, USA.","WALSBERG, GE",72
694,1,1978,water,ES,"DELTA WATERFOWL RES STN, RR 1, PORTAGE LA PRAIRIE R1N 3A1, MANITOBA, CANADA.","ANDERSON, MG",73
696,1,1978,anim,ES,"ANIM ECOL RES GRP, DEPT ZOOL, S PARKS RD, OXFORD 0X1 3PS, ENGLAND.","HANSKI, I",74
697,1,1978,eco,ES,"SAVANNAH RIVER ECOL LAB,PO DRAWER E,AIKEN,SC 29801, USA.","PINDER, JE",62
699,1,1978,bio,ES,"NEW MEXICO STATE UNIV, DEPT BIOL, LAS CRUCES, NM 88003 USA.","WHITFORD, WG",42
701,1,1978,geol,ES,"UNIV GEORGIA,DEPT GEOL,ATHENS,GA 30602, USA.","HAYES, WB",75
702,1,1978,csiro,Remove,"CSIRO,DIV WILDLIFE RES,POB 84,LYNEHAM 2602,ACT,AUSTRALIA.","GREEN, B",76
703,1,1978,bio,ES,"UNIV CALIF SANTA BARBARA,DEPT BIOL SCI,SANTA BARBARA,CA 93106, USA.","CHESSON, J",77
710,1,1978,marine,ES,"DUKE UNIV,MARINE LAB,BEAUFORT,NC 28516, USA.","SUTHERLAND, JP",78
712,1,1978,earth,ES,"JOHNS HOPKINS UNIV,DEPT EARTH & PLANETARY SCI,BALTIMORE,MD 21218, USA.","WOODIN, SA",79
713,1,1978,eco,ES,"UNIV ARIZONA,DEPT ECOL & EVOLUT BIOL,TUCSON,AZ 85721, USA.","KODRICBROWN, A",80
716,1,1978,bot,ES,"IOWA STATE UNIV, DEPT BOT & PLANT PATHOL, AMES, IA 50011 USA.","VANDERVALK, AG",81
721,1,1978,zoo,ES,"UNIV WISCONSIN,DEPT ZOOL,MADISON,WI 53706, USA.","RUSCH, DA",82
722,1,1978,water,ES,"US WATER CONSERVAT LAB,PHOENIX,AZ 85040, USA.","IDSO, SB",83
724,1,1978,parasitol,ES,"CZECHOSLOVAK ACAD SCI,INST PARASITOL,CS-16632 PRAGUE 6,CZECHOSLOVAKIA.","HUBALEK, Z",84
726,1,1978,bio,ES,"UNIV MICHIGAN,DIV BIOL,ANN ARBOR,MI 48109, USA.","KLEINFELDT, SE",85
728,1,1978,geog,SS,"UNIV GEORGIA,DEPT GEOG,ATHENS,GA 30602, USA.","MEENTEMEYER, V",86
729,1,1978,anim,ES,"UNIV LUND,DEPT ANIM ECOL,S-22362 LUND,SWEDEN.","NILSSON, SG",87
735,1,1978,bio,ES,"MEM UNIV NEWFOUNDLAND, DEPT BIOL, ST JOHNS A1C 5S7, NEWFOUNDLAND, CANADA.","RICE, J",88
737,1,1978,eco,ES,"UNIV ILLINOIS,DEPT ECOL ETHOL & EVOLUT,URBANA,IL 61801, USA.","LYNCH, M",89
742,1,1978,usda,Remove,"USDA,FOREST SERV,NW FOREST & RANGE EXPT STN,FORESTRY SCI LAB,3200 JEFFERSON WAY,CORVALLIS,OR 97331, USA.","SORENSEN, FC",90
743,1,1978,env,ES,"CANADA DEPT ENVIRONM,CANADIAN FORESTRY SERV,GREAT LAKES FOREST RES CTR,POB 490,SAULT STE MARIE P6A 5M7,ONTARIO,CANADA.","DORWORTH, CE",91
744,1,1978,natl pk,Remove,"US NATL PK SERV,EVERGLADES NATL PK,HOMESTEAD,FL 33030, USA.","KUSHLAN, JA",38
746,1,1978,eco,ES,"UNIV GEORGIA,INST ECOL,ATHENS,GA 30602, USA.","BAKELAAR, RG",92
747,1,1978,env,ES,"UNIV COLORADO,DEPT ENVIRONM POPULAT & ORGAN BIOL,BOULDER,CO 80309, USA.","LEWIS, WM",57
749,1,1978,bio,ES,"UNIV CALIF LOS ANGELES,DEPT BIOL,LOS ANGELES,CA 90024, USA.","VANCE, RR",33
750,1,1978,min,ES,"UNIV MINNESOTA,DEPT ECOL & BEHAV BIOL,MINNEAPOLIS,MN 55455, USA.","TILMAN, D",93
756,1,1978,bio,ES,"CONCORDIA UNIV, DEPT BIOL SCI, MONTREAL H3G 1M8, QUEBEC, CANADA.","MALY, EJ",94
758,1,1978,bio,ES,"TULANE UNIV,DEPT BIOL,NEW ORLEANS,LA 70118, USA.","WHITE, DA",95
767,1,1978,bot,ES,"BRIGHAM YOUNG UNIV,DEPT BOT & RANGE SCI,PROVO,UT 84601, USA.","OSTLER, WK",96
769,1,1978,bio,ES,"KANSAS STATE UNIV,DIV BIOL,MANHATTAN,KS 66506, USA.","STAPANIAN, MA",97
770,1,1978,zoo,ES,"ARIZONA STATE UNIV,DEPT ZOOL,TEMPE,AZ 85281, USA.","GOLIGHTLY, RT",98
772,1,1978,bio,ES,"GRINNELL COLL,DEPT BIOL,GRINNELL,IA 50112, USA.","DELONG, KT",99
777,1,1978,bio,ES,"MCGILL UNIV,DEPT BIOL,MONTREAL H3A 1B1,QUEBEC,CANADA.","KRAMER, DL",100
779,1,1978,bio,ES,"UNIV NEW MEXICO,DEPT BIOL,ALBUQUERQUE,NM 87131, USA.","CRAWFORD, CS",101
780,1,1978,bot,ES,"UNIV ILLINOIS,DEPT BOT,URBANA,IL 61801, USA.","PETERSON, DL",102
783,1,1978,bio,ES,"APPALACHIAN STATE UNIV,DEPT BIOL,BOONE,NC 28607, USA.","VANDEVENDER, RW",103
784,1,1978,zoo,ES,"DUKE UNIV,DEPT ZOOL,DURHAM,NC 27706, USA.","STEINWASCHER, K",104
786,1,1978,zoo,ES,"UNIV WESTERN ONTARIO,DEPT ZOOL,LONDON N6A 5B7,ONTARIO,CANADA.","MILLAR, JS",105
787,1,1978,zoo,ES,"UNIV CALIF DAVIS,DEPT ZOOL,DAVIS,CA 95616, USA.","SCHWARTZKOPF, SH",106
789,1,1978,bio,ES,"SUNY COLL FREDONIA,DEPT BIOL,FREDONIA,NY 14063, USA.","BEST, MD",107
794,1,1978,geol,ES,"BROWN UNIV,DEPT GEOL SCI,PROVIDENCE,RI 02912, USA.","WEBB, T",108
804,1,1978,bio,ES,"UNIV CALIF SANTA BARBARA,DEPT BIOL SCI,SANTA BARBARA,CA 93106, USA.","SCHLESINGER, WH",109
806,1,1978,bio,ES,"WAYNE STATE UNIV,DEPT BIOL,DETROIT,MI 48202, USA.","LUCKINBILL, LS",58
810,1,1978,bio,ES,"UNIV ROCHESTER,DEPT BIOL,ROCHESTER,NY 14627, USA.","JAENIKE, J",110
811,1,1978,zoo,ES,"UNIV MARYLAND,DEPT ZOOL,COLLEGE PK,MD 20742, USA.","GILL, DE",45
934,1,1977,zoo,ES,"UNIV MASSACHUSETTS,DEPT ZOOL,AMHERST,MA 01003, USA.","EDWARDS, DC",111
936,1,1977,eco,ES,"UNIV ARIZONA,DEPT ECOL & EVOLUT BIOL,TUCSON,AZ 85721, USA.","DUNFORD, C",112
939,1,1977,bot,ES,"UNIV OKLAHOMA,DEPT BOT & MICROBIOL,NORMAN,OK 73019, USA.","RICE, EL",113
940,1,1977,bio,ES,"BOSTON UNIV,DEPT BIOL,BOSTON,MA 02215, USA.","TAMARIN, RH",114
941,1,1977,agr,ES,"AGR RES SERV,POB E,FT COLLINS,CO 80522, USA.","CLARK, FE",115
942,1,1977,nat,ES,"COLORADO STATE UNIV, NAT RESOURCE ECOL LAB, FT COLLINS, CO 80523 USA.","KIRCHNER, TB",116
946,1,1977,bio,ES,"RICE UNIV,DEPT BIOL,HOUSTON,TX 77001, USA.","HARCOMBE, PA",117
948,1,1977,eco,ES,"UNIV ARIZONA,DEPT ECOL & EVOLUT BIOL,TUCSON,AZ 85721, USA.","PULLIAM, HR",118
5837,1,2002,math ,MA,"2528 W Klamath Ave, Kennewick, WA 99336 USA.","Eberhardt, LL",119
6054,1,2002,NoMatch,Unmatched,"POB 44, Corrales, NM 87048 USA.","Findley, JS",120
7637,1,1997,eco,ES,"MICHIGAN STATE UNIV,CTR MICROBIAL ECOL,E LANSING,MI 48824, USA.","Bohannan, BJM",121
7638,1,1997,ent,ES,"UNIV KENTUCKY,CTR ECOL EVOLUT & BEHAV,LEXINGTON,KY 40506, USA.","Englund, G",122
7639,1,1997,env,ES,"UNIV MARYLAND,CTR ENVIRONM & ESTUARINE STUDIES,HORN POINT ENVIRONM LAB,CAMBRIDGE,MD 21613, USA.","Petersen, JE",123
7641,1,1997,forest,ES,"UNIV ALASKA,DEPT FOREST SCI,FOREST SOILS LAB,FAIRBANKS,AK 99775, USA.","Yarie, J",124
7642,1,1997,bio,ES,"KANSAS STATE UNIV,DIV BIOL,ACKERT HALL,MANHATTAN,KS 66506, USA.","Blair, JM",125
7648,1,1997,eco,ES,"UNIV GEORGIA,INST ECOL,ATHENS,GA 30602, USA.","Pringle, CM",126
7662,1,1997,bio,ES,"NEW MEXICO STATE UNIV, DEPT BIOL, BOX 30001 DEPT 3AF, LAS CRUCES, NM 88003 USA.","Boecklen, WJ",127
7663,1,1997,bot,ES,"OREGON STATE UNIV,DEPT BOT & PLANT PATHOL,CORVALLIS,OR 97331, USA.","McCune, B",128
7666,1,1997,geol survey,Remove,"US GEOL SURVEY,BIOL RESOURCES DIV,PATUXENT WILDLIFE RES CTR,LAUREL,MD 20708, USA.","Link, WA",129
7672,1,1997,eco,ES,"BROWN UNIV,DEPT ECOL & EVOLUT BIOL,PROVIDENCE,RI 02912, USA.","Bertness, MD",130
7675,1,1997,bio,ES,"SUNY BINGHAMTON,DEPT BIOL SCI,BINGHAMTON,NY 13902, USA.","Wilson, DS",131
7691,1,1997,desert,ES,"BEN GURION UNIV NEGEV,JACOB BLAUSTEIN INST DESERT RES,IL-84105 BEER SHEVA,ISRAEL.","Kam, M",132
7696,1,1997,min,ES,"UNIV MINNESOTA,DEPT ECOL EVOLUT & BEHAV,ST PAUL,MN 55108, USA.","Sterner, RW",133
7697,1,1997,fish,ES,"UNIV FLORIDA,DEPT FISHERIES & AQUAT SCI,7922 NW 71ST ST,GAINESVILLE,FL 32653, USA.","Gu, BH",134
7698,1,1997,eco,ES,"UNIV GEORGIA,INST ECOL,ATHENS,GA 30602, USA.","Hunter, MD",135
7703,1,1997,eco,ES,"UNIV CALIF DAVIS,SECT ECOL & EVOLUT,DAVIS,CA 95616, USA.","Strauss, SY",136
7705,1,1997,bio,ES,"VANDERBILT UNIV,DEPT BIOL,BOX 1812 STN B,NASHVILLE,TN 37212, USA.","Pellmyr, O",137
7710,1,1997,bio,ES,"UNIV SYDNEY,SCH BIOL SCI A08,SYDNEY,NSW 2006,AUSTRALIA.","Shine, R",138
7713,1,1997,zoo,ES,"OREGON STATE UNIV,DEPT ZOOL,CORDLEY HALL 3029,CORVALLIS,OR 97331, USA.","Kiesecker, JM",139
7714,1,1997,bio,ES,"UNIV VERMONT, DEPT BIOL, BURLINGTON, VT 05405 USA.","Gotelli, NJ",140
7716,1,1997,eco,ES,"NETHERLANDS INST ECOL,POB 40,NL-6666 ZG HETEREN,NETHERLANDS.","VanderPutten, WH",141
7718,1,1997,eco,ES,"LUND UNIV,DEPT ECOL,ECOL BLDG,S-22362 LUND,SWEDEN.","Pettersson, LB",142
7724,1,1997,bio,ES,"VANDERBILT UNIV,DEPT BIOL,NASHVILLE,TN 37235, USA.","Polis, GA",143
7725,1,1997,env,ES,"UNIV CALIF DAVIS,DIV ENVIRONM STUDIES,DAVIS,CA 95616, USA.","Harrison, S",144
7726,1,1997,zoo,ES,"UNIV WISCONSIN, DEPT ZOOL, MADISON, WI 53706 USA.","Ives, AR",145
7738,1,1997,"stat,",MA,"OREGON STATE UNIV,DEPT STAT,CORVALLIS,OR 97331, USA.","Murtaugh, PA",146
7739,1,1997,forest,ES,"YALE UNIV,SCH FORESTRY & ENVIRONM STUDIES,370 PROSPECT ST,NEW HAVEN,CT 06511, USA.","Schmitz, OJ",147
7740,1,1997,NoMatch,Unmatched,"CALIF STATE UNIV LOS ANGELES,LOS ANGELES,CA 90032, USA.","Robles, CD",148
7742,1,1997,min,ES,"UNIV MINNESOTA,DEPT FISHERIES & WILDLIFE,200 HODSON HALL,ST PAUL,MN 55108, USA.","Gross, ML",149
7745,1,1997,bot,ES,"UNIV WASHINGTON,DEPT BOT,SEATTLE,WA 98195, USA.","Parker, IM",150
7746,1,1997,bio,ES,"INDIANA UNIV,DEPT BIOL,BLOOMINGTON,IN 47405, USA.","Marr, DL",151
7750,1,1997,bio,ES,"COLORADO STATE UNIV,DEPT BIOL,FT COLLINS,CO 80523, USA.","Stapp, P",152
7755,1,1997,bio,ES,"UNIV GRENOBLE 1,CNRS UMR 5553,LAB BIOL POPULAT ALTITUDE,BP 53,F-38041 GRENOBLE 9,FRANCE.","Meyran, JC",153
7757,1,1997,zoo,ES,"UNIV WASHINGTON,DEPT ZOOL,BOX 351800,SEATTLE,WA 98195, USA.","Banks, JE",154
7758,1,1997,bio,ES,"UNIV S FLORIDA,DEPT BIOL,TAMPA,FL 33620, USA.","Stiling, P",155
7759,1,1997,bio,ES,"UNIV OREGON,DEPT BIOL,EUGENE,OR 97403, USA.","Bradshaw, WE",156
7768,1,1997,bio,ES,"UNIV SYDNEY,SCH BIOL SCI A08,SYDNEY,NSW 2006,AUSTRALIA.","Shine, R",138
7770,1,1997,zoo,ES,"UNIV BERN,INST ZOOL,ABT VERHALTENSOKOL,CH-3032 HINTERKAPPELEN,SWITZERLAND.","Bakker, TCM",157
7772,1,1997,bio,ES,"UNIV TURKU,DEPT BIOL,LAB ECOL & ANIM SYSTEMAT,FIN-20014 TURKU,FINLAND.","Eeva, T",158
7774,1,1997,bio,ES,"UNIV MICHIGAN,DEPT BIOL,NAT SCI BLDG,ANN ARBOR,MI 48109, USA.","Peacor, SD",159
7780,1,1997,life,ES,"UNIV TEXAS,DIV LIFE SCI,SAN ANTONIO,TX 78249, USA.","VanAuken, OW",160
7788,1,1997,eco,ES,"SUNY STONY BROOK,DEPT ECOL & EVOLUT,STONY BROOK,NY 11794, USA.","Adams, DC",161
7790,1,1997,woods hole,ES,"WOODS HOLE OCEANOG INST, DEPT BIOL, WOODS HOLE, MA 02543 USA.","Neubert, MG",162
7791,1,1997,bio,ES,"MCGILL UNIV, DEPT BIOL, 1205 DR PENFIELD AVE, MONTREAL, PQ H3A 1B1, CANADA.","Potvin, C",163
7796,1,1997,bio,ES,"UNIV REGINA,DEPT BIOL,REGINA,SK S4S 0A2,CANADA.","Kochy, M",164
7799,1,1997,bio,ES,"UNIV CALIF RIVERSIDE,DEPT BIOL,RIVERSIDE,CA 92521, USA.","Price, MV",165
7803,1,1997,zoo,ES,"ARIZONA STATE UNIV,DEPT ZOOL,BOX 871501,TEMPE,AZ 85287, USA.","Faeth, SH",166
7804,1,1997,zoo,ES,"ARIZONA STATE UNIV,DEPT ZOOL,BOX 871501,TEMPE,AZ 85287, USA.","Faeth, SH",166
7805,1,1997,eco,ES,"UNIV CALIF IRVINE,DEPT ECOL & EVOLUT BIOL,IRVINE,CA 92717, USA.","Djawdan, M",167
7806,1,1997,bio,ES,"ILLINOIS STATE UNIV,DEPT BIOL SCI,ECOL GRP,NORMAL,IL 61790, USA.","Hechtel, LJ",168
7808,1,1997,zoo,ES,"DEPT ZOOL, EDWARD GREY INST FIELD ORNITHOL, S PARKS RD, OXFORD OX1 3PS, ENGLAND.","Verhulst, S",169
7809,1,1997,nat,ES,"AUSTRALIAN NATL UNIV,CTR RESOURCE & ENVIRONM STUDIES,CANBERRA,ACT 0200,AUSTRALIA.","McCarthy, MA",170
7813,1,1997,zoo,ES,"UNIV TORONTO,DEPT ZOOL,AQUAT ECOL GRP,25 HARBORD ST,TORONTO,ON M5S 1A1,CANADA.","Jackson, DA",171
7815,1,1997,bio,ES,"DARTMOUTH COLL, DEPT BIOL SCI, HANOVER, NH 03755 USA.","Marra, PP",172
7831,1,1997,bio,ES,"UNIV SEVILLA,DEPT BIOL VEGETAL & ECOL,APARTADO 1095,E-41080 SEVILLE,SPAIN.","Herrera, J",173
7837,1,1997,zoo,ES,"UNIV WASHINGTON,DEPT ZOOL,BOX 351800,SEATTLE,WA 98195, USA.","Fagan, WF",174
7838,1,1997,eco,ES,"INST ECOSYST STUDIES,BOX AB,MILLBROOK,NY 12545, USA.","Caraco, NF",175
7840,1,1997,forest,ES,"FORESTRY & FOREST PROD RES INST,TSUKUBA,IBARAKI 305,JAPAN.","Tanaka, H",176
7842,1,1997,natl biol,Remove,"COLORADO STATE UNIV,NAT RESOURCE ECOL LAB,NATL BIOL SERV,US GEOL SURVEY,BIOL RESOURCES DIV,FT COLLINS,CO 80523, USA.","Stohlgren, TJ",177
7843,1,1997,zoo,ES,"MIAMI UNIV,DEPT ZOOL,OXFORD,OH 45056, USA.","Vanni, MJ",178
7844,1,1997,zoo,ES,"MIAMI UNIV,DEPT ZOOL,OXFORD,OH 45056, USA.","Vanni, MJ",178
7848,1,1997,min,ES,"UNIV MINNESOTA, DEPT ECOL EVOLUT & BEHAV, 1987 UPPER BUFORD CIRCLE, ST PAUL, MN 55108 USA.","Tilman, D",93
7858,1,1997,bio,ES,"SUNY BINGHAMTON,DEPT BIOL SCI,BINGHAMTON,NY 13902, USA.","Stamp, NE",179
7861,1,1997,plant,ES,"UNIV UTRECHT,DEPT PLANT ECOL & EVOLUT BIOL,POB 80084,NL-3508 TB UTRECHT,NETHERLANDS.","Aerts, R",180
7873,1,1996,bio,ES,"MUHLENBERG COLL,DEPT BIOL,ALLENTOWN,PA 18104, USA.","Niesenbaum, RA",181
7875,1,1996,eco,ES,"UNIV CHILE,FAC CIENCIAS,DEPT CIENCIAS ECOL,CASILLA 653,SANTIAGO,CHILE.","Vasquez, RA",182
